Text,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
"ARC Centre of Excellence for Environmental Decisions (CEED). Administered by The University of Queensland The vision of The ARC Centre of Excellence for Environmental Decisions (CEED) is to be the world's leading research centre for solving environmental management problems, and for
evaluating the outcomes of environmental actions. This research will benefit environmental science and management in Australia and internationally. Individually our key researchers are recognised as global leaders in applied environmental science - CEED will draw together this
expertise to produce a centre of international scale and calibre that will tackle the complex problem of environmental management and monitoring in a rapidly changing, risky and uncertain world. While the goal of being the world leader in a research field seems loftyour track record of publications in the world's top journals, and the fact that the disciplines of
ecology and environmental management are one of Australia's strongest research areas, make this an ambitious but feasible goal.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Biofabricating complex synthetic skin structures (PhD candidate: Emily Liu s3862245) Skin is the largest organ of the human body, and is responsible for several functions vital to human survival, such as barrier protection, homeostatic modulation, and sensory function. Understanding skin’s response to external stimuli (including disease, and topically applied drugs and chemicals) is a perennial question across clinical, pharmaceutical and cosmetic fields. Historically animal models have been used for most of this testing, but this usage has declined in recent years owing to ethical concerns and the introduction of ‘3R’ (Replace, Reduce, Refine) legislation across most of the globe in the early 2000s. In vitro skin models have emerged as a more sustainable, humane and human-relevant alternative to animal testing. Whilst there are number of commercially available synthetic skin models, these models have not obtained the complex anatomical and physiological features (such as layering and vasculature) found in native human skin. If more complex synthetic skin could be created in the lab, it would have a breadth of applications including disease modelling, as well as testing for the toxicity and corrosivity of chemicals, transdermal drug delivery and cosmetic product testing.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Eco-Bio sanitary pads to end period poverty The project aims to develop low-cost, eco-friendly, bio-based sanitary pads, for effective management of women menstrual health and hygiene (MHH), in low and middle income countries (LMIC). Such sanitary pad will not only be effective and medically safe, but also disposable & fully compostable. The absorbent core of commercially available effective but expensive sanitary pads (Figure 1) is primarily made of petrochemical-based superabsorbent gels for increased liquid absorption and retention; where the barrier layer is made of non-biodegradable plastics for fluid impermeability, and the adhesive layer is formed using silicone-based glues. Besides cost, the risks
associated with synthetic superabsorbent materials include pelvic inflammatory disease, ovarian cancer and toxic shock syndrome, and the high carbon footprint barrier; and the adhesive layer materials cause potential health and environmental threats.",1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0
"Meat Industry Efficiency and Innovation Capacity Enhancement; Benchmarking Technologies and systems from Automotive Industry This project will focus on accelerating the adoption of new technologies by benchmarking the competitive, and sustainable Automotive manufacturing industry. The Automotive industry, as a high volume- low margin sector, is the pioneer in automating manual tasks, by developing the most advanced and cost-effective systems.
Development of innovative manufacturing, processing, materials handling solutions and technologies as well as management systems and appropriate culture has helped the automotive industry to stay efficient and sustainable for many years. On the other hand the Australian automotive industry is leaving a huge number of culturally trained and skilled workers behind.
All the above mentioned makes the need for an extensive research in adapting and using the already existing technologies, strategies and systems in the Automotive industry inevitable. A PhD research project for the duration of 3 years to study the possibilities and potentials for the red meat industry to adapt technologies and solutions in the field of automation, materials handling solutions, management of processes and procedures, and quality assurance systems developed and used by the Automotive industry is proposed.
The research outcomes will generate a database for a rapid knowledge transfer in order to improve red meat industry's innovation capacity on a sustained basis. This will ensure quick knowledge transfer by enabling the industry to acquire skills, as well as a huge number of skilled and culturally trained, unemployed workforce. This database will generate a bank for several future research activities in line with the AMPC capability building strategic plans.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Corporate offshore strategy-led Korean communities in Asian developing countries: Case studies of Suzhou, China and Hanoi, Vietnam With growing concerns about labor costs and land costs in Korea, Korean firms have been eager to outward Foreign Direct Investment (FDI). Relocation or establishment of cross-border production activities involves flows of people. Nevertheless, little attention has been paid to the detailed mechanisms that inward FDI has resulted in urban transformation in developing countries.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SDG Governance in Australian Firms: Developing an Innovative SDG Reporting Framework The sustainable development goals (SDGs) are a framework of 17 goals and 169 targets across social, economic and environmental areas of sustainable development which the United Nations (UN) Member States committed to in 2015 with a 15-year timeline ending in 2030. Businesses play a critical role in achieving these goals and many have begun to reference the SDGs in their annual reports. However, the quality of SDG governance including the measurement and disclosure of the impact businesses have on the Global goals is nascent and unclear. This issue is of direct national importance with the 2019 Australian senate inquiry into SDGs recommending that businesses be supported through the development of better reporting guidance.  ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Narratives of digital resilience This project will explore the experiences of young people in dealing with bullying,
violent or extremist behaviours in online environments and analyse the strategies used by these youth to build digital resilience to this behaviour. This project will utilise qualitative and quantitative data through the partner networks. Outputs: narratives of youth resilience to violent online behaviour; evidence-based digital resistance strategies. The project aligns to priorities of understanding how young people build digital online resilience; understanding how online environments may promote grievance, resentment, frustration and disempowerment that makes violent extremist narratives attractive; and understanding possible ways for dealing with this.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Improving the negotiation skills among nascent entrepreneurs in Vietnam Improving the negotiation skills among nascent entrepreneurs in Vietnam,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"Closing the mental health gap: Lived experience perspectives of presenting to Emergency Departments in mental health distress Closing the mental health gap: Lived experience perspectives of presenting to Emergency Departments in mental health distress.

Data analysis of existing interviews, ethics application and subsequent completion of expert workshops; scoping online resource components",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Care Economy Cooperative Research Centre (PhD Candidate: Amir Hossein Dast Aviz) The Care Economy CRC is researching ways to improve the quality and cost of care in Australia. There are a countless number of reports and publications across aged care, disability, domestic violence and other care sectors. CIS is seeking an intern to research these reports and publications and to find out what the major challenges are in Australia’s care sector.
CIS would like the intern to research the challenges facing the care sector in Australia. By conducting research across different industries i.e. aged care, disability and domestic violence, the intern may find many of these challenges cross over between. CIS would like the intern to complete an econometric analysis to discover the top 5 areas where the government could save significant spending, from investment in research and innovation programs. ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
